,Rolling singlescore Average,Rolling singlescore Standard Deviation,Rolling multiscore Average,Rolling multiscore Standard Deviation,Rolling clkspd Average,Rolling clkspd Standard Deviation,Rolling numcores Average,Rolling numcores Standard Deviation,Rolling numthreads Average,Rolling numthreads Standard Deviation,Rolling year Average,Rolling year Standard Deviation
102,-2.6358605016708587,-5.411213749706026,-3.93736531540935,-4.33588651126254,-1.2812216566599066,-1.5540754762066689,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.246014741505656,
103,-2.62818586691775,-5.591720422474694,-3.709638104427482,-4.149260263976238,-1.2049324972978657,-1.4460816650215134,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.246014741505656,
104,-2.6220882870496314,-6.186512455911628,-3.6921097015838913,-4.097256434999928,-1.0496165957753154,-1.5664266638948345,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.246014741505656,
105,-2.6175393785232624,-6.186512455911628,-3.656791139562436,-4.139961129952865,-1.2719384543563572,-1.1786404815782812,-2.833213344056216,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
106,-2.614518228189086,-6.186512455911628,-3.4997527880779806,-4.255206796693303,-1.3138733197700498,-1.0893235862412964,-2.545531271604435,-3.2034399930346575,-3.054001181677967,-4.099319727648686,-2.246014741505656,
107,-2.607005044838303,-5.5115490974371015,-3.505205094026097,-4.22597247367446,-1.2719384543563572,-1.0397445213720118,-2.545531271604435,-3.2034399930346575,-3.054001181677967,-4.099319727648686,-2.246014741505656,
108,-2.601034877851799,-5.381793499694558,-3.502227424332172,-4.217822719665939,-1.4289165361442935,-1.0885727779527823,-2.545531271604435,-3.2034399930346575,-3.054001181677967,-4.099319727648686,-2.246014741505656,
109,-2.593621945462673,-5.381793499694558,-3.4997527880779806,-4.210778073625987,-1.6649049939469727,-1.4556302884149301,-2.545531271604435,-3.2034399930346575,-3.054001181677967,-4.099319727648686,-2.246014741505656,
110,-2.587730912225436,-5.5115490974371015,-3.55148846247717,-4.051270608887657,-1.5004867286455457,-1.630642431239773,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
111,-2.578958926152599,-5.805442429888167,-3.6879243442036977,-4.07268006548547,-1.5466995718006773,-1.4667256561329518,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.246014741505656,
